"Name","Resolucion","Fecha Resolucion","Registro"
"Instituto  Mater Dei","1438","2001-05-14","269"
"Instituto Catequista Dolores Sopeña (Catecas)","111","1999-06-04","217"
"Instituto Cristífero","2385","1996-08-16","23"
"Instituto Cristo Rey","3721","2001-12-14","291"
"Instituto de Hermanas de la Sagrada Familia de Urgel","577","1998-02-13","150"
"Instituto de Hermanas Misioneras de San Francisco Javier","10","1998-08-25","186"
"Instituto de Hijas de María Religiosas de las Escuelas Pías (Madres Escolapias)","3710","2001-12-07","290"
"Instituto de la Bienaventurada Virgen Maria","2221","1997-08-05","97"
"Instituto de las Hermanas de la Sagrada Familia de Nazareth (Hermanas de Nazareth)","317","1998-02-02","148"
"Instituto de las Hermanas de San José de Pinerolo","2134","2006-10-12","346"
"Instituto de las Religiosas de la Asunción","114","1998-12-28","190"
"Instituto de las Siervas de Jesús Sacramentado","54","1998-10-09","181"
"Instituto de Religiosas Adoratrices Esclavas del Santisimo Sacramento y de la Caridad (Hermanas Adoratrices Españolas)","1955","2001-06-14","272"
"Instituto de Religiosas de San José de Gerona","41","1998-09-17","187"
"Instituto del Verbo Encarnado","2547","2005-11-08","333"
"Instituto Hermanas Esclavas del Corazón de Jesús (Arg)","28","1998-09-09","178"
"Instituto Hermanas Misioneras de la Consolata (Hermanas Misioneras de la Consolata)","2432","1996-09-06","29"
"Instituto Hijas de Jesús","837","1997-04-04","76"
"Instituto Hijas de María Inmaculada (Concepcionistas Arg)","2587","1997-09-08","107"
"Instituto Hijas de Nuestra Señora de la Misericordia de Savona (Rosario)","1814","2003-12-18","270/2"
"Instituto Inmaculada Concepción de Nuestra Señora de Lourdes (Hermanitas Lourdistas)","1055","1998-03-27","161"
"Instituto Miles Christi","90","1999-05-05","215"
"Instituto Misiones Consolata (Misioneros de la Consolata)","680","1996-03-19","8"
"Instituto religioso de la Sagrada Familia de Burdeos (Hermanas de la Sagrada Familia de Burdeos)","3258","1996-11-13","53"
"Instituto Religioso Hnas. Terceras Mercedarias del Niño Jesús","12","1998-08-25","185"
"Instituto Religioso San Juan Bautista","27","1998-09-09","184"
"INSTITUTO SECULAR ""SERVI TRINITATIS"" -RAMA FEMENINA","126","2016-06-07","273/1"
"Instituto Secular de Schönstatt - Hermanas de María","2693","1996-09-23","38"
"Instituto Secular Femenino &quot;Hijas de la Natividad de María&quot; ( Hijas de la Natividad de María)","2411","1996-09-03","27"
"Instituto Secular Fraternidad de Santa María de los Ángeles","1871","1998-05-14","167"
"Instituto Secular Misioneras Apostólicas de la Caridad (Misioneras Apostólicas de la Caridad)","3435","1996-11-27","56"
